32,32,100
64,32,100
64,96,100
32,96,100
32,160,100
64,160,100
64,224,100
32,224,100
32,288,100
64,288,100
64,416,100
64,416,200
96,416,200
96,352,200
128,352,200
128,384,200
160,384,300
160,352,300
224,352,300
224,416,300
160,416,300
160,384,300
288,384,400
288,480,400
320,480,400
320,544,500
192,544,500
192,512,600
128,512,600
128,480,600
32,480,600
32,544,600
64,544,700
64,512,700
256,512,800
256,416,900
256,352,1000
320,352,1000
320,448,1000
256,448,1000
256,544,1000
320,544,1000
320,448,1000
256,448,1000
256,352,1000
224,352,1000
224,416,1000
192,416,1000
192,352,1000
320,352,1000
320,416,1000
128,416,1000
